player,start_yr,end_yr,pos,team,age,yrs,dollars,average_salary,guaranteed_at_signing,practical_guarantees,percent_gtd,free_agent
Taybor Pepper,2019,2020,LS,NYG,24,2,1230000,615000,0,0,0,2021
Colin Holba,2018,2019,LS,SF,24,2,1200000,600000,0,0,0,2020
Zane Gonzalez,2018,2019,K,ARI,24,2,1200000,600000,0,0,0,2020
Giorgio Tavecchio,2018,2019,K,ATL,28,2,1200000,600000,0,0,0,2020
Don Muhlbach,2019,2019,LS,DET,37,1,1120000,1120000,90000,90000,8.04,2020
Zak DeOssie,2019,2019,LS,NYG,34,1,1120000,1120000,225000,225000,20.09,2020
John Denney,2019,2019,LS,MIA,40,1,1120000,1120000,90000,90000,8.04,2020
Kasey Redfern,2019,2020,P,DAL,27,2,1080000,540000,0,0,0,2021
Jonathan Brown,2019,2020,K,SF,26,2,1080000,540000,0,0,0,2021
Zach Triner,2019,2020,LS,TB,28,2,1080000,540000,0,0,0,2021
Ryan Santoso,2019,2020,K,DET,23,2,1080000,540000,0,0,0,2021
Tristan Vizcaino,2019,2020,K,CIN,0,2,1080000,540000,0,0,0,2021
Cameron Johnston,2018,2019,P,PHI,27,2,1065000,532500,15000,15000,1.41,2020
Cory Carter,2018,2019,P,BUF,24,2,1052000,526000,2000,2000,0.19,2020
Brett Maher,2018,2019,K,DAL,29,2,1050000,525000,0,0,0,2020
Andrew East,2018,2019,LS,WAS,27,2,1050000,525000,0,0,0,2020
Greg Joseph,2018,2019,K,CLE,24,2,1050000,525000,0,0,0,2020
L.P. Ladouceur,2019,2019,LS,DAL,38,1,1030000,1030000,90000,90000,8.74,2020
Harrison Butker,2017,2019,K,KC,23,2,1020000,510000,0,0,0,2020
Dan Bailey,2019,2019,K,MIN,31,1,1000000,1000000,250000,250000,25,2020
Casey Kreiter,2019,2019,LS,DEN,28,1,1000000,1000000,0,0,0,2020
Cairo Santos,2019,2019,K,TB,27,1,1000000,1000000,195000,195000,19.5,2020
Matt Overton,2019,2019,LS,JAC,33,1,955000,955000,0,0,0,2020
Patrick Scales,2019,2019,LS,CHI,31,1,810000,810000,90000,90000,11.11,2020
Rick Lovato,2019,2019,LS,PHI,26,1,720000,720000,0,0,0,2020
Tyler Ott,2019,2019,LS,SEA,27,1,645000,645000,0,0,0,2020
Matt Wile,2019,2019,P,MIN,26,1,645000,645000,0,0,0,2020
Aldrick Rosas,2019,2019,K,NYG,24,1,645000,645000,0,0,0,2020
Zach Wood,2019,2019,LS,NO,26,1,645000,645000,0,0,0,2020
Jake Elliott,2019,2019,K,PHI,24,1,645000,645000,0,0,0,2020
Daniel Carlson,2019,2019,K,OAK,24,1,570000,570000,0,0,0,2020
Ternt Sieg,2019,2019,LS,OAK,23,1,570000,570000,0,0,0,2020
Ty Long,2019,2019,K,LAC,26,1,495000,495000,0,0,0,2020
Sam Ficken,2019,2019,K,GBSigned w/SEA,26,1,495000,495000,0,0,0,2020
Ryan Winslow,2019,2019,P,ARI,25,1,495000,495000,0,0,0,2020
Chris Blewitt,2019,2019,K,CHI,24,1,495000,495000,0,0,0,2020
Taylor Bertolet,2019,2019,K,DEN,26,1,495000,495000,0,0,0,2020
